"pred" ""
"2020-03-09" -0.0509931334620835 -1
"2020-03-10" -0.0328784761336282 -1
"2020-03-11" -0.0405450358177521 -1
"2020-03-12" 0.0171428889893287 1
"2020-03-13" -0.0375349161280101 -1
"2020-03-14" -0.035539911078475 -1
"2020-03-15" -0.0186442773964177 -1
"2020-03-16" -0.0378812571161154 -1
"2020-03-17" -0.014711041294032 -1
"2020-03-18" -0.0637138339878781 -1
"2020-03-19" 0.0418804100179404 1
"2020-03-20" 0.01172005731782 1
"2020-03-21" -0.0287544587093376 -1
"2020-03-22" 0.0696190291988122 1
"2020-03-23" 0.0854456400229047 1
"2020-03-24" -0.000380313857298184 0
"2020-03-25" -0.0128584141184213 -1
"2020-03-26" -0.0152886854313568 -1
"2020-03-27" -0.0346814770560178 -1
"2020-03-28" -0.0074430586443591 -1
"2020-03-29" -0.0892299691434948 -1
"2020-03-30" -0.00846136670889291 -1
"2020-03-31" 0.0452772275640358 1
"2020-04-04" -0.0464557403436435 -1
"2020-04-05" -0.0784948667301927 -1
"2020-04-06" 0.0468111947873845 1
"2020-04-07" 0.0702121032893043 1
"2020-04-08" -0.0384288011157555 -1
"2020-04-09" 0.0465891003707181 1
"2020-04-10" 0.0294346500449944 1
"2020-04-11" 0.0794621265691586 1
"2020-04-12" 0.105759769467017 1
"2020-04-13" 0.0560429511198546 1
"2020-04-14" -0.0406041451889242 -1
"2020-04-15" 0.0621439109719916 1
"2020-04-16" 0.0732361784870099 1
"2020-04-17" -0.0323461680633597 -1
"2020-04-18" -0.00594582521609054 -1
"2020-04-19" 0.0429760668476959 1
"2020-04-20" 0.0183183181035467 1
"2020-04-21" -0.0834691974923212 -1
"2020-04-22" 0.0176584958981459 1
"2020-04-23" -0.0569135295833577 -1
"2020-04-24" -0.0174361666280773 -1
"2020-04-25" -0.015110131253254 -1
